X (mg);Y (mg);Z (mg)
-17;-4;2
-56;16;-17
-56;43;-22
-41;43;-6
-65;45;5
-87;12;-22
-105;-24;-41
-69;14;-44
-13;17;-71
11;18;-84
0;14;-59
-16;-16;32
-77;-37;29
-88;-15;-21
-56;51;-42
-76;85;10
-70;83;-30
-65;7;-22
-57;42;46
-54;20;44
-79;-32;-2
-49;-4;-21
-26;22;-55
0;13;-52
-15;5;35
-72;-54;50
-107;-68;-3
-25;-5;10
57;50;-25
72;89;-51
28;36;-13
2;22;-40
48;36;-65
45;17;-52
-16;-26;-91
-61;-25;-40
-63;-8;11
-34;-4;-59
4;-7;-49
-5;-21;-48
-50;-21;-62
-89;-19;25
-97;0;-21
-50;-28;-45
-1;-21;-17
-25;33;-21
-63;97;-44
-62;104;-35
-17;33;-41
22;-18;17
5;-33;27
-23;-39;-4
-64;-53;-48
-51;10;-74
-33;62;-60
-33;114;-72
-23;94;-51
-29;27;-60
-32;0;-8
-48;25;15
-31;10;-26
2;29;-10
10;38;-10
-14;10;-68
-58;-13;-34
-94;15;-60
-61;-23;-63
-28;47;-64
14;30;-19
-2;-3;16
-69;24;-30
-30;-19;-84
-23;47;-8
-67;73;-48
-23;44;-69
14;64;-81
47;-22;-99
-5;-69;-78
-63;-64;-16
-161;-50;1
-105;3;-59
57;78;-17
67;80;-43
3;46;-90
-59;-17;-29
-138;50;-43
-57;7;-95
50;-33;-64
43;-19;-19
-10;10;4
6;30;-59
54;-33;-83
-24;29;-20
-54;67;-17
52;3;-48
111;-35;-40
12;-24;28
-47;-4;-57
42;28;-39
70;1;-69
31;-12;-73
-9;2;-45
25;-15;-11
52;33;-28
83;29;-35
41;-10;-46
42;13;-41
23;-65;-88
-25;47;-40
27;13;1
72;34;-39
168;30;-1
197;-50;31
85;-73;-7
21;23;-32
139;75;-18
199;-6;-64
212;-75;20
121;-134;1
103;-136;72
135;-114;71
147;-15;30
157;47;108
138;32;-7
216;-13;40
251;-159;26
217;-191;27
202;-176;167
88;-150;68
25;-54;89
80;6;78
210;52;117
248;-37;131
228;-67;63
226;-47;260
144;-127;213
77;-127;265
-23;-226;313
-77;-169;158
24;-47;174
141;-19;59
211;91;76
193;-8;70
127;-165;53
46;-184;147
-60;-139;86
-40;-9;70
37;78;28
77;100;-10
69;51;-19
42;-29;-64
22;-17;-94
4;-39;15
-82;5;-68
-71;93;53
16;25;53
82;-30;15
59;-83;80
-7;-120;124
-21;-93;58
61;-72;19
101;-62;17
49;-9;-16
51;45;19
143;37;40
198;48;6
243;51;31
264;-76;160
77;-226;102
-112;-157;130
-133;-50;135
61;69;-42
303;54;-90
419;-11;-87
395;-29;-72
331;-146;167
7;-250;196
-308;-2;159
-189;201;172
147;86;-81
353;-64;-134
395;-99;-39
224;-101;-52
47;97;28
